Date,Cases
29/03/22,43023215
30/03/22,43024440
31/03/22,43025775
01/04/22,43027035
02/04/22,43028131
03/04/22,43029044
04/04/22,43029839
05/04/22,43030925
06/04/22,43031958
07/04/22,43033067
08/04/22,43034217
09/04/22,43035271
10/04/22,43036132
11/04/22,43036928
12/04/22,43038016
13/04/22,43039023
14/04/22,43039972
15/04/22,43040947
16/04/22,43042097
17/04/22,43044280
18/04/22,43045527
19/04/22,43047594
20/04/22,43049974
21/04/22,43052425
22/04/22,43054952
23/04/22,43057545
24/04/22,43060086
25/04/22,43060097
26/04/22,43065496
27/04/22,43068799
28/04/22,43072176
29/04/22,43075864
30/04/22,43079188
01/05/22,43082345
02/05/22,43084913
03/05/22,43088118
04/05/22,43091393
05/05/22,43094938
06/05/22,43098743
07/05/22,43102194
08/05/22,43105401
09/05/22,43107689
10/05/22,43110586
11/05/22,43113413
12/05/22,43116254
13/05/22,43119112
14/05/22,43121599
15/05/22,43123801
16/05/22,43125370
17/05/22,43127199
18/05/22,43129563
19/05/22,43131822
20/05/22,43134145
21/05/22,43136371
22/05/22,43138393
23/05/22,43140068
24/05/22,43142192
25/05/22,43144820
26/05/22,43147530
27/05/22,43150215
28/05/22,43153043
29/05/22,43155749
30/05/22,43158087
31/05/22,43160832
01/06/22,43164544
02/06/22,43168585
03/06/22,43172547
04/06/22,43176817
05/06/22,43181335
06/06/22,43185049
07/06/22,43190282
08/06/22,43197522
09/06/22,43205106
10/06/22,43213435
11/06/22,43222017
12/06/22,43230101
13/06/22,43236695
14/06/22,43245517
15/06/22,43257730
16/06/22,43270577
17/06/22,43283793
18/06/22,43296692
19/06/22,43309473
20/06/22,43319396
21/06/22,43331645
22/06/22,43344958
23/06/22,43362294
24/06/22,43378234
25/06/22,43389973
26/06/22,43407046
27/06/22,43418839
28/06/22,43433345
29/06/22,43452164
30/06/22,43469234
01/07/22,43486326
02/07/22,43502429
03/07/22,43518564
04/07/22,43531650
05/07/22,43547809
06/07/22,43566739
07/07/22,43585554
08/07/22,43604394
09/07/22,43622651
10/07/22,43639329
11/07/22,43652944
12/07/22,43669850
13/07/22,43689989
14/07/22,43710027
15/07/22,43730071
16/07/22,43750599
17/07/22,43767534
18/07/22,43783062
19/07/22,43801678
20/07/22,43824728
21/07/22,43847065
22/07/22,43868476
23/07/22,43888755
24/07/22,43905621
25/07/22,43920451
26/07/22,43938764
27/07/22,43959321
28/07/22,43979730
29/07/22,44000138
30/07/22,44019811
31/07/22,44036275
01/08/22,44050009
02/08/22,44067144
03/08/22,44087037
04/08/22,44107588
05/08/22,44126994
06/08/22,44145709
07/08/22,44145709
08/08/22,44174650
09/08/22,44190697
10/08/22,44206996
11/08/22,44223557
12/08/22,44239372
13/08/22,44253464
14/08/22,44268381
15/08/22,44277711
16/08/22,44286256
17/08/22,44298864
18/08/22,44314618
19/08/22,44327890
20/08/22,44339429
21/08/22,44348960
22/08/22,44357546
23/08/22,44368195
24/08/22,44378920
25/08/22,44389176
26/08/22,44398696
27/08/22,44408132
28/08/22,44415723
29/08/22,44415723
30/08/22,44415723
31/08/22,44436339
01/09/22,44442507
02/09/22,44449726
03/09/22,44456535
04/09/22,44462445
05/09/22,44466862
06/09/22,44469661
07/09/22,44478636
08/09/22,44484729
09/09/22,44490283
10/09/22,44495359
11/09/22,44500580
12/09/22,44502363
13/09/22,44510057
