Date,Cases
29/03/22,485649915
30/03/22,487247590
31/03/22,488810861
01/04/22,490229883
02/04/22,491102544
03/04/22,491795689
04/04/22,493029039
05/04/22,494394436
06/04/22,495614407
07/04/22,496892754
08/04/22,498067151
09/04/22,498809406
10/04/22,499371019
11/04/22,500357346
12/04/22,501476932
13/04/22,502551958
14/04/22,503514561
15/04/22,504173546
16/04/22,504728004
17/04/22,505135766
18/04/22,505593027
19/04/22,506611148
20/04/22,507572864
21/04/22,508494564
22/04/22,509326073
23/04/22,509804848
24/04/22,510170201
25/04/22,510807207
26/04/22,511586152
27/04/22,512270545
28/04/22,513029820
29/04/22,513674263
30/04/22,514028003
01/05/22,514337424
02/05/22,514784854
03/05/22,515456909
04/05/22,516084404
05/05/22,516684038
06/05/22,517314925
07/05/22,517654258
08/05/22,517933111
09/05/22,518623538
10/05/22,519264799
11/05/22,519959508
12/05/22,520612153
13/05/22,521185114
14/05/22,521623840
15/05/22,521997492
16/05/22,522587922
17/05/22,523196288
18/05/22,523956899
19/05/22,524552967
20/05/22,525179079
21/05/22,525546242
22/05/22,525862056
23/05/22,526355204
24/05/22,526949796
25/05/22,527593755
26/05/22,528096493
27/05/22,528666149
28/05/22,528995178
29/05/22,529271873
30/05/22,529616224
31/05/22,530241569
01/06/22,530939976
02/06/22,531470716
03/06/22,532014270
04/06/22,532267351
05/06/22,532530338
06/06/22,532965247
07/06/22,533576907
08/06/22,534283486
09/06/22,534848531
10/06/22,535405294
11/06/22,535689085
12/06/22,535887333
13/06/22,536415150
14/06/22,537272203
15/06/22,537994296
16/06/22,538577138
17/06/22,539110151
18/06/22,539338742
19/06/22,539607241
20/06/22,540362445
21/06/22,541178509
22/06/22,541984328
23/06/22,542767959
24/06/22,543545293
25/06/22,543862216
26/06/22,544148980
27/06/22,545021364
28/06/22,545963319
29/06/22,546896134
30/06/22,547974317
01/07/22,548925491
02/07/22,549284928
03/07/22,549643412
04/07/22,550495502
05/07/22,551700794
06/07/22,552926114
07/07/22,553979237
08/07/22,554985885
09/07/22,555489725
10/07/22,555912593
11/07/22,556965871
12/07/22,558188894
13/07/22,559615969
14/07/22,560618337
15/07/22,561620875
16/07/22,562173878
17/07/22,562633320
18/07/22,563831363
19/07/22,565376142
20/07/22,566978238
21/07/22,568132310
22/07/22,569227609
23/07/22,569864429
24/07/22,570415520
25/07/22,571389219
26/07/22,572585879
27/07/22,574012504
28/07/22,575128637
29/07/22,576504042
30/07/22,577080293
31/07/22,577625050
01/08/22,578498268
02/08/22,579688847
03/08/22,580844327
04/08/22,582298507
05/08/22,583199840
06/08/22,584378161
07/08/22,584876085
08/08/22,585692322
09/08/22,586732558
10/08/22,587759595
11/08/22,588765069
12/08/22,589518048
13/08/22,590154612
14/08/22,590615366
15/08/22,591470649
16/08/22,592553956
17/08/22,593544473
18/08/22,594489234
19/08/22,595290702
20/08/22,595865130
21/08/22,596349664
22/08/22,597060819
23/08/22,597949972
24/08/22,598834543
25/08/22,599699548
26/08/22,600401903
27/08/22,600854582
